category	path	symbol_anchor	symbols_or_boundary	protocol_family	owner	disposition
provider-producer	connectors/codex/internal/codex/usage_estimator.go	estimateUsage	estimateUsage	Codex local estimator	Connector owner	lossless-v1-bridge; local estimate remains explicitly estimated and cannot be labelled provider-reported or used as a debit; parent 8.5
provider-producer	connectors/commandcode-anthropic/internal/anthropic/client.go	parseNonStreamingResponse	parseNonStreamingResponse	Anthropic connector	Connector owner	lossless-v1-bridge; surfaced Anthropic request/output/cache fields and request identity remain in canonical/raw provider parsing; executable ABI forwards six presence-aware counters, while advanced V2 identity/native measures are unsupported without trusted StoreID binding; parent 8.1/8.5
provider-producer	connectors/commandcode-anthropic/internal/anthropic/stream.go	handlePayload	handlePayload	Anthropic connector	Connector owner	lossless-v1-bridge; presence-aware streaming usage revisions and provider request identity remain canonical; executable ABI forwards six counters, while advanced V2 revisions/native measures are unsupported without trusted StoreID binding; parent 8.1/8.5
provider-producer	connectors/cursorsdk/internal/product/event_mapper.go	mapUsageEvent	mapUsageEvent	Cursor connector	Connector owner	lossless-v1-bridge; provider token counters and explicit zero/presence remain in the negotiated V1 sideband, while account/request/charge identifiers and native quota gauges are unsupported advanced evidence without a trusted StoreID/native subject; parent 8.5
provider-producer	connectors/gitlabduo/internal/service/client.go	handlePayload	anthropicManagedSSEStream.handlePayload	GitLab Duo connector	Connector owner	lossless-v1-bridge; Anthropic-like and OpenAI-like parsing retains field presence, cache/reasoning subsets, request IDs and service context; executable ABI forwards six counters, while advanced V2 measures/revisions are unsupported without trusted StoreID binding; parent 8.1/8.2/8.5
provider-producer	connectors/minimexoauth/internal/service/client.go	handlePayload	anthropicManagedSSEStream.handlePayload	MiniMax connector	Connector owner	lossless-v1-bridge; Anthropic-compatible parsing preserves zero versus absent, cache/reasoning fields and request identity; executable ABI forwards six counters, while advanced V2 measures/revisions are unsupported without trusted StoreID binding; parent 8.1/8.5
provider-producer	connectors/vertex/internal/service/client.go	usageEvent	usageEvent	Vertex connector	Connector owner	lossless-v1-bridge; native modality direction/cache/reasoning/grounded-tool parsing remains local and never coerces units into text tokens; executable ABI forwards six counters, while native V2/resource identity is unsupported without trusted StoreID binding; parent 8.3/8.5
provider-producer	connectors/localstub/internal/service/service.go	canonicalEvents	canonicalEvents	localstub connector	Connector owner	lossless-v1-bridge; deterministic test-only six-counter fixture has no native advanced source fields; parent 8.5
sideband-finalizer	pkg/lipsdk/backendplugin/accounting.go	UsageEvidence	UsageEvidence.ValidatePresence	backend-plugin ABI	SDK ABI owner	v2-certified; negotiated AccountingEvidenceV2 validates bounded observation, coverage and explicit unsupported reasons; parent 7.1-8.5
sideband-finalizer	pkg/lipsdk/backendplugin/host/session.go	FinalizeBilling	Session.FinalizeBilling	backend-plugin ABI	SDK ABI owner	lossless-v1-bridge; V1 finalization remains six-counter-only and reports partial coverage rather than claiming V2; parent 8.1-8.5
sideband-finalizer	internal/infra/backendplugins/adapter/finalize_billing.go	finalizeBillingResponseToEvent	finalizeBillingResponseToEvent	backend-plugin ABI	Infra adapter	v2-certified; adapter consumes negotiated V2 observations and retains explicit lossless V1 partial bridge; parent 8.1-8.5
sideband-finalizer	internal/infra/backendplugins/adapter/stream.go	accountingEvidenceToEvent	accountingEvidenceToEvent	backend-plugin sideband	Infra adapter	v2-certified; sideband drain keeps observation identity/revision/coverage and does not emit economic payload as client content; parent 8.1-8.5
sideband-finalizer	internal/core/runtime/response_pipeline_observations.go	emitUsageEvidence	emitUsageEvidence/emitUsageTerminal/consumeBackendUsageEvidenceForAttempt	backend sideband	Core runtime	v2-certified; terminal owner captures V2 observations before legacy token fallback and keeps missing final usage incomplete; parent 8.1-8.5
sideband-finalizer	internal/core/runtime/operator_usage_evidence.go	operatorUsageEvidence	operatorUsageEvidence/operatorUsageOrShell	finalizer fallback	Core runtime	lossless-v1-bridge; operator fallback remains source-separated legacy evidence and never upgrades unsupported advanced fields; parent 8.5
sideband-finalizer	internal/core/runtime/billing_collector.go	callFinalizeBilling	callFinalizeBilling/finalizeOnce	finalizer cache	Core runtime	v2-certified; finalizer cache preserves immutable V2 evidence and source revisions without stream-time posting; parent 8.5
sideband-finalizer	internal/core/runtime/billing_leg.go	billingLegRecord	billingLegRecord	terminal B-leg record	Core runtime	v2-certified; B-leg closure retains provider lineage and native non-B-leg evidence is not attached falsely; parent 8.5
sideband-finalizer	internal/core/runtime/billing_leg.go	mergeStreamCostOntoLeg	mergeStreamCostOntoLeg	terminal B-leg record	Core runtime	removed; retired in Task 18.1 replaced by projectV1BillingEvidence explicit one-way V1 selection in same file; parent 18.1
prompt-cache	pkg/lipsdk/promptcache/accounting.go	AccountingEvidence	AccountingEvidence.Validate	prompt-cache ABI	SDK ABI owner	lossless-v1-bridge; prompt-cache maintenance remains native lifecycle evidence and does not claim foreground provider inference; parent 8.5
prompt-cache	pkg/lipsdk/promptcache/types.go	Observation	Observation/ObservationBuffer	prompt-cache ABI	SDK ABI owner	lossless-v1-bridge; native cache/resource subject and renewal lineage remain additive and separate from B-leg closure; parent 8.5
prompt-cache	internal/core/runtime/prompt_cache_maintenance.go	commitSuccessfulTurn	commitSuccessfulTurn	prompt-cache lifecycle	Core runtime	lossless-v1-bridge; committed-turn renewal is native maintenance evidence with explicit lineage, not a foreground inference debit; parent 8.5
compaction	internal/core/runtime/executor_compaction.go	observeCompactionReleaseFinalEvidence	observeCompactionReleaseFinalEvidence	compaction continuity	Core runtime	lossless-v1-bridge; compaction release preserves child/native maintenance identity and is additive/inclusive only as declared; parent 8.5
compaction	internal/plugins/features/compactioncontinuity/plugin_response.go	AfterResponseRelease	BeforeResponseRelease/AfterResponseRelease	compaction continuity	Feature plugin	unsupported advanced evidence; plugin has no legitimate V2 native resource/child B-leg subject transport, so foreground inference remains untouched; parent 8.5
prompt-cache	internal/standardplugins/featurehost/keepwarm.go	keepwarmAccountingHooks	keepwarmAccountingHooks/maintenanceEvidence	prompt-cache maintenance	Feature host	lossless-v1-bridge; keep-warm hooks retain native maintenance/resource scope and cannot be relabelled as successful foreground inference; parent 8.5
prompt-cache	internal/infra/billingcompose/keepwarm.go	ObserveProviderMaintenance	ObserveProviderMaintenance	maintenance billing	Billing composition	lossless-v1-bridge; maintenance observations remain native subject evidence until an owner-safe allocation path is bound; parent 8.5
prompt-cache	internal/core/billing/maintenance.go	ProviderMaintenanceUsage	ProviderMaintenanceUsage/ProviderMaintenanceUsageObserver	maintenance billing	Core billing	lossless-v1-bridge; native maintenance accounting is explicit and separate from request-scoped B-leg evidence; parent 8.5
metering-journal	internal/infra/metering/journalstore/memory.go	Append	Append/List	metering journal	Infra journal	bridge-v1; parent 4.1-4.4
metering-journal	internal/infra/metering/journalstore/durable.go	Append	Append/List	metering journal	Infra journal	bridge-v1; parent 4.1-4.4
metering-journal	internal/infra/runtimebundle/metering.go	openDurableMeteringJournal	openDurableMeteringJournal	metering composition	Runtime bundle	bridge-v1; parent 4.1-4.4
metering-journal	internal/core/controlplane/metering_usage_bridge.go	ListUsageRowsFromMeteringBounded	ListUsageRowsFromMeteringBounded/DualPlaneReportInputsFromMeteringBounded	control-plane query	Core control plane	bridge-v1; parent 15-16
monetary-rating	internal/core/billing/call_rating.go	RateCall	RateCall	customer retail	Core billing	bridge-v1; parent 9.1-10.5
monetary-rating	internal/core/billing/rating.go	selectCustomerLegs	selectCustomerLegs/chargeLeg	customer retail	Core billing	RED; parent 9.1-10.5 characterization
monetary-rating	internal/core/billing/provider_cost.go	RateProviderCost	RateProviderCost	operator COGS	Core billing	RED; parent 9.1-10.5 characterization
monetary-worker	internal/core/billing/call_post_usage_worker.go	ProcessOnce	CallPostUsageWorker.ProcessOnce	customer posting	Core billing	bridge-v1; parent 10.1-10.5
monetary-worker	internal/core/billing/call_provider_cost_worker.go	ProcessOnce	CallProviderCostWorker.ProcessOnce	operator posting	Core billing	bridge-v1; parent 9.1-10.5
monetary-store	internal/infra/billingstore/call_usage_store.go	AppendCallUsage	AppendCallUsage/ClaimCompleteCalls	customer usage durable store	Infra billing store	bridge-v1; parent 4.1-5.4
monetary-store	internal/infra/billingstore/call_leg_usage_store.go	AppendCallLegUsage	AppendCallLegUsage/ListPendingProviderCostWork	B-leg usage durable store	Infra billing store	bridge-v1; parent 4.1-5.4
monetary-store	internal/infra/billingstore/call_settlement.go	ApplyCallBillingResult	ApplyCallBillingResult	customer journal posting	Infra billing store	bridge-v1; parent 10.1-10.5
monetary-store	internal/infra/billingstore/provider_cost_store.go	ApplyProviderCost	ApplyProviderCost	operator journal posting	Infra billing store	bridge-v1; parent 9.1-9.5
monetary-store	internal/infra/billingstore/journal_store.go	postJournalTransaction	postJournalTransaction	journal authority	Infra billing store	bridge-v1; parent 10.1-10.5
monetary-worker	internal/infra/runtimebundle/process_billing.go	buildProcessBillingRuntime	buildProcessBillingRuntime/configureProcessBilling	billing worker composition	Runtime bundle	bridge-v1; parent 9-10
report	internal/core/billing/reports.go	SummarizeJournalForReport	SummarizeJournalForReport/ReportMargin	billing report domain	Core billing	bridge-v1; parent 15.1-16.5
report	internal/infra/billingstore/reports.go	AccountReport	AccountReport/OperatorCostReport/TrialBalanceReport	billing reports	Infra billing store	bridge-v1; parent 15.1-16.5
report	internal/infra/billingstore/reports_call_explanation.go	CallExplanation	CallExplanation	call explanation	Infra billing store	bridge-v1; parent 15.1-16.5
report	internal/infra/billingstore/operator_queries.go	QueryReconcileRequired	QueryReconcileRequired	operator query	Infra billing store	bridge-v1; parent 15.1-16.5
report	internal/core/controlplane/usage_projector.go	ProjectMeteringFact	ProjectMeteringFact/UsageRowsFromMeteringFacts	control-plane projection	Core control plane	bridge-v1; parent 15.1-16.5
report	pkg/lipsdk/controlplane/economics_report_from_facts.go	DualPlaneReportInputsFromFacts	DualPlaneReportInputsFromFacts	public report binding	SDK binding	bridge-v1; parent 15.1-16.5
report	internal/stdhttp/admin/billing/handler.go	handleAccountReport	handleAccountReport/operatorCostHandler	HTTP report surface	HTTP adapter	bridge-v1; parent 15.1-16.5
