module	manifest	exports	media_relevant	media_surface	capability_or_fixture_evidence	economic_disposition	bounded_reason	verification
databricks	connectors/databricks/manifest/template.backendplugin.json	databricks-ai	no	No connector-local media mapper or media capability	connectors/databricks/internal/service/service.go; connector-support/openaicompat/request.go::unsupportedPartError	not-media-capable	Video-like model-name filters do not prove media support; static/resolved profiles are streaming-only and shared canonical media conversion rejects.	module test/vet and parity controls
geminicliacp	connectors/geminicliacp/manifest/template.backendplugin.json	geminicliacp	yes	Canonical image/file refs use shared ACP resource prompt blocks	connectors/geminicliacp/internal/service/service.go; connector-support/acp/invoke.go; connectors/geminicliacp/parity_suite_test.go::TestParity_ConformanceAndScriptedStream	unsupported advanced evidence	Vision is negotiated for the CLI ACP prompt surface, while provider-native media usage, advanced units and trusted executable V2 identity are unavailable.	module test/vet and CLI ACP parity
gitlabduo	connectors/gitlabduo/manifest/template.backendplugin.json	gitlab-duo	yes	Anthropic/OpenAI request extraction sees parts but serializes text only	connectors/gitlabduo/internal/service/client.go::extractMessages; connectors/gitlabduo/internal/service/service.go; connectors/gitlabduo/parity_suite_test.go	lossless-v1-bridge	Provider usage is bridged through six counters; media parts have no advertised capability/native economic path and are not attributed to text or synthetic media units.	module test/vet and GitLab connector evidence
huggingface	connectors/huggingface/manifest/template.backendplugin.json	huggingface	no	No connector-local media mapper or media capability	connectors/huggingface/internal/service/service.go; connector-support/openaicompat/request.go::unsupportedPartError	not-media-capable	Static/resolved profiles are streaming-only; shared OpenAI-compatible conversion rejects canonical image/file parts before network execution.	module test/vet and hosted parity controls
infomaniak	connectors/infomaniak/manifest/template.backendplugin.json	infomaniak-ai	no	No connector-local media mapper or media capability	connectors/infomaniak/internal/service/service.go; connector-support/openaicompat/request.go::unsupportedPartError	not-media-capable	Media words in model-name filtering do not establish a media capability; the connector makes no media claim and shared conversion rejects canonical media.	module test/vet and parity controls
llamacpp	connectors/llamacpp/manifest/template.backendplugin.json	llamacpp	no	No connector-local media mapper or media capability	connectors/llamacpp/internal/service/service.go; connector-support/openaicompat/request.go::unsupportedPartError	not-media-capable	Local-compatible profile is streaming-only and shared canonical image/file conversion is explicitly unavailable.	module test/vet and local-compatible parity
lmstudio	connectors/lmstudio/manifest/template.backendplugin.json	lmstudio	no	No connector-local media mapper or media capability	connectors/lmstudio/internal/service/service.go; connector-support/openaicompat/request.go::unsupportedPartError	not-media-capable	Local-compatible profile is streaming-only and shared canonical image/file conversion is explicitly unavailable.	module test/vet and local-compatible parity
localstub	connectors/localstub/manifest/template.backendplugin.json	local-stub	no	Deterministic text/tool reference fixture only	connectors/localstub/internal/service/service.go; .kiro/specs/usage-economics-b-leg-multimodal-refinement/evidence/phase1-producer-consumer-census.tsv	not-media-capable	The test/reference connector has no media capability or media wire path; its six-counter fixture is not provider-native media economics.	module test/vet and reference parity
minimexoauth	connectors/minimexoauth/manifest/template.backendplugin.json	minimax-oauth	yes	Anthropic request extraction serializes text only; no media capability is advertised	connectors/minimexoauth/internal/service/client.go::extractAnthropicMessages; connectors/minimexoauth/internal/service/service.go; connectors/minimexoauth/parity_suite_test.go	lossless-v1-bridge	Provider usage is bridged through six counters; media parts have no native mapping or V2 identity and are not coerced into text-token economics.	module test/vet and MiniMax connector evidence
nousportal	connectors/nousportal/manifest/template.backendplugin.json	nous-portal	no	No connector-local media mapper or media capability	connectors/nousportal/internal/service/service.go; connector-support/openaicompat/request.go::unsupportedPartError	not-media-capable	Static/resolved profiles are streaming-only and shared canonical media conversion rejects image/file parts.	module test/vet and parity controls
nvidia	connectors/nvidia/manifest/template.backendplugin.json	nvidia	no	No connector-local media mapper or media capability	connectors/nvidia/internal/service/service.go; connector-support/openaicompat/request.go::unsupportedPartError	not-media-capable	Hosted-compatible profile is streaming-only; no media claim is made and shared conversion rejects canonical media.	module test/vet and hosted parity controls
oci	connectors/oci/manifest/template.backendplugin.json	oci-generative-ai	yes	Canonical non-text parts are explicitly rejected	connectors/oci/internal/service/client.go; connectors/oci/internal/service/service.go; connectors/oci/parity_suite_test.go	unsupported advanced evidence	The connector has no media capability/native media producer; explicit non-text rejection bounds unsupported advanced economics.	module test/vet and parity
ollama	connectors/ollama/manifest/template.backendplugin.json	ollama,ollama-cloud	yes	Local /api/show may report vision, but canonical OpenAI-compatible media conversion is unavailable	connectors/ollama/internal/service/caps.go; connectors/ollama/internal/service/inventory.go; connectors/ollama/parity_suite_test.go::TestParity_LocalInventoryCapsAndError; connector-support/openaicompat/client_test.go::TestClient_UnsupportedContentPartsFailBeforeNetwork	unsupported advanced evidence	The provider vision hint is deliberately not advertised until a lossless mapper exists; no native media usage or V2 identity is claimed.	module test/vet; Ollama inventory/parity and shared mapper checks
opencode	connectors/opencode/manifest/template.backendplugin.json	opencode-go,opencode-zen	yes	Anthropic/Gemini text-only routes reject canonical media and OpenAI-compatible routes reject canonical media	connectors/opencode/internal/service/service.go; connectors/opencode/internal/service/inventory.go; connectors/opencode/internal/upstream/anthropic.go; connectors/opencode/internal/upstream/gemini.go; connectors/opencode/internal/upstream/media_test.go::TestTextOnlyRequestBuildersRejectMedia; connectors/opencode/parity_suite_test.go::TestMediaCapabilitiesRequireCanonicalMediaMapping; connector-support/openaicompat/client_test.go::TestClient_UnsupportedContentPartsFailBeforeNetwork	unsupported advanced evidence	Vision/Documents overclaims were removed; until every route has a lossless mapper, no media capability, native media usage or V2 identity is surfaced.	module test/vet; OpenCode capability regression and parity
openrouter	connectors/openrouter/manifest/template.backendplugin.json	openrouter	no	No connector-local media mapper or media capability	connectors/openrouter/internal/service/service.go; connector-support/openaicompat/request.go::unsupportedPartError	not-media-capable	Static/resolved profiles are streaming-only and shared canonical image/file conversion rejects before network execution.	module test/vet and parity controls
qwenoauth	connectors/qwenoauth/manifest/template.backendplugin.json	qwen-oauth	yes	Hook adapter preserves raw image_url objects, but canonical OpenAI-compatible mapping rejects before hook execution	connectors/qwenoauth/internal/service/adapt.go; connectors/qwenoauth/internal/service/service.go; connector-support/openaicompat/client_test.go::TestClient_UnsupportedContentPartsFailBeforeNetwork	unsupported advanced evidence	Raw preservation is not a certified provider media path; no media capability, native media usage or trusted V2 identity is claimed.	module test/vet and OAuth parity
replicate	connectors/replicate/manifest/template.backendplugin.json	replicate	yes	Canonical non-text input is rejected and object output such as image_url fails closed	connectors/replicate/internal/service/client.go::Open; connectors/replicate/internal/service/service.go::Resolve	unsupported advanced evidence	The connector explicitly reports vision/non-text unsupported and does not invent media usage from output objects or model metadata.	module test/vet and parity
sagemaker	connectors/sagemaker/manifest/template.backendplugin.json	sagemaker	yes	Canonical non-text input is explicitly rejected	connectors/sagemaker/internal/service/client.go; connectors/sagemaker/internal/service/service.go	unsupported advanced evidence	No media capability or native media economic producer exists; rejection is the bounded unsupported disposition.	module test/vet and parity
sapaicore	connectors/sapaicore/manifest/template.backendplugin.json	sapaicore	no	No connector-local media mapper or media capability	connectors/sapaicore/internal/service/service.go; connector-support/openaicompat/request.go::unsupportedPartError	not-media-capable	Static/resolved profiles are streaming-only; shared canonical image/file conversion is explicitly unavailable.	module test/vet and parity controls
snowflake	connectors/snowflake/manifest/template.backendplugin.json	snowflake-cortex	no	No connector-local media mapper or media capability	connectors/snowflake/internal/service/service.go; connector-support/openaicompat/request.go::unsupportedPartError	not-media-capable	Model-name filters are not media wire support; static/resolved profiles are streaming-only and shared conversion rejects media.	module test/vet and parity controls
vertex	connectors/vertex/manifest/template.backendplugin.json	vertex	yes	Image/file input maps to Vertex fileData; output fileData maps to assistant image/file refs; modality token fields remain native	connectors/vertex/internal/service/client.go; connectors/vertex/internal/service/client_media_test.go; connectors/vertex/internal/service/provider_evidence_test.go	lossless-v1-bridge	Native modality evidence remains connector-local; executable ABI forwards six counters while trusted StoreID/B-leg identity and advanced resource economics stay unsupported.	module test/vet; Vertex media/provider evidence and parity
vllm	connectors/vllm/manifest/template.backendplugin.json	vllm	no	No connector-local media mapper or media capability	connectors/vllm/internal/service/service.go; connector-support/openaicompat/request.go::unsupportedPartError	not-media-capable	Local-compatible profile is streaming-only and shared canonical image/file conversion is explicitly unavailable.	module test/vet and local-compatible parity
watsonx	connectors/watsonx/manifest/template.backendplugin.json	watsonx	yes	Canonical non-text parts are explicitly rejected	connectors/watsonx/internal/service/client.go; connectors/watsonx/internal/service/service.go	unsupported advanced evidence	The connector states that vision/non-text is unsupported and has no media capability/native economic producer; rejection bounds coverage.	module test/vet and parity
xaioauth	connectors/xaioauth/manifest/template.backendplugin.json	xai-oauth	no	No connector-local media mapper or media capability	connectors/xaioauth/internal/service/service.go; connector-support/openaicompat/request.go::unsupportedPartError	not-media-capable	Static/resolved profiles are streaming-only and shared canonical image/file conversion rejects image/file parts.	module test/vet and OAuth parity
