kind	id	summary	evidence	integrated_19_1
req	14.1	cheap screen + atomic admission + terminal handoff	TestCheapCreditScreenAllowsConfiguredHeadroom; TestExecutorStrictCapabilityDenialOpensNoProviderAndWritesNoExposure	FullEconomics; Resume
req	14.2	bound non-token charges	TestAdapterStrictQuoteRejectsWhenAllRoutesLackCapabilityWithoutSideEffects	Resume(50B ceiling)
req	14.3	actuals exceed estimate retained	TestRefinement4StockObservationToEconomicSettlement	-
req	14.4	atomic dedup settlement/adjustment	TestB2b4CostPassThroughV1DefaultBindsPinReplayConflict; TestB2b1V1DefaultExactReplayBindsPinAtomically	FullEconomics(replay)
req	14.5	strict fails before spend	TestExecutorStrictCapabilityDenialOpensNoProviderAndWritesNoExposure; TestAdapterStrictQuoteRejectsWhenAllRoutesLackCapabilityWithoutSideEffects	-
req	14.6	supplier backlog isolated	TestEconomicJobQueueSQLiteBacklogAgeAndCounts	-
req	15.1	ownership seams	TestBuildWithBillingIsTheSingleMonetaryEntrypoint	FullEconomics(imports)
req	15.2	typed public contracts	TestBuildWithBillingBuildsReadyHostOnSharedPath; TestACP_externalConnectorModulesPresent	-
req	15.3	explicit opt-in binding stock non-money	TestBuildWithBillingCoexistsWithNonMoneyAuthority	-
req	15.4	reject bad bindings one owner	TestBuildWithBillingRejectsInvalidBindingBeforeStart; TestBuildWithBillingRejectsTypedNilBindingMember; TestBuildWithBillingUnwindsFailedOwnedStart	-
req	15.5	new component no core branches	TestQuantity_Validate_UnknownComponentRequiresSchema	Resume(widget)
req	15.6	retire token-only live paths	TestB2b3V2ActiveV2AllowedV1ReplayOnly; TestALegReportCycle3RetirementAndReadOnlyNoWrites; TestCurrentJournalRejectsRetiredAuthorizationBook	-
req	16.1	allowlist bounded no raw content	TestNativeUsageMeasuresRejectMalformedNegativeAndFractionalDiscreteValues	FullEconomics(safe evidence)
req	16.2	exact lexemes sanitizer retention	TestNativeUsageMeasuresPreserveMultimodalDirectionAndUnits	-
req	16.3	trusted scope no client claims	TestDedupeKeyForBLegIsScopedToBillingCallAndBLeg; TestStampBillingCallIDRejectsSubmissionIdentityChangeOnSameCall	FullEconomics(binding)
req	16.4	component/basis/completeness queries no leaks	TestQueryEconomicDetailRetainsAggregatePlane; TestAssembleEconomicDetailFinding2RedactedZeroShareDoesNotLeakOrExempt	FullEconomics(detail)
req	16.5	bounded metrics backlog/conflicts	TestEconomicHealthSnapshotBacklogAgeExcludesTerminalHistory; TestEconomicJobQueueSQLiteBacklogAgeAndCounts	-
req	16.6	balances + audit linkage on retention	TestCustomerUnitOperationReplayAndConflictUseStablePayloadIdentity	FullEconomics(explanation)
req	18.1	red-first tests + synthetic extensibility	TestTCK_ActualNormalizerAndReducer	TestPhase191LifecycleMultimodalTransforms; TestPhase191LifecycleResumeMissingAggregateCreditsSubmission
req	18.2	deterministic fixtures separations	TestMonetaryDiscrepancyDecomposesAcceptanceVector	TestPhase191LifecycleFullEconomicsCertification
req	18.3	family-level parity no cartesian	TestAdapter_TransportNegotiation_StreamingConnector	TestPhase191LifecycleFullEconomicsCertification
