id	lifecycle_or_race	requirements	tests	command_scope	result	evidence
L11	Store/tenant isolation of markers/pins/queues	11.4	TestAccountingCutoverStoreIsolation; TestPhase192RestartLifecycleRaceExactlyOnce (store-scoped snapshot)	go test ./internal/infra/billingstore/	PASS	section 2
L12	Stable event/revision uniqueness under concurrency	11.4	TestPostJournalTransactionConcurrentSameSourceKeyIsIdempotent; TestPhase172Cluster1ConcurrentOverlapDeterministic	go test -race ./internal/infra/billingstore/	PASS	section 4
L13	Bounded indexed pagination traverses exactly once	11.4	TestQueryEconomicDetailCursorTraversalExactlyOnce; TestEconomicDetailValuationLatestPerStreamAndDatabaseBound	go test ./internal/infra/billingstore/	PASS	section 6
L14	Worker lease loser is terminal; exactly one claimant	10.6; 14.4	TestRefinement82ConcurrentWorkerClaimsElectOneWinner; TestPhase192RestartLifecycleRaceExactlyOnce (claim race + foreign-owner complete); TestR3_SameRevisionSubsetLoserIsTerminal	go test -race ./internal/infra/billingstore/	PASS	section 2
L15	Adjustment CAS race: exactly one head advance, loser fenced with zero effects	13.3; 14.4	TestPhase192RestartLifecycleRaceExactlyOnce (2-way correction race); TestSelectedCostAdjustmentSQLiteInitialAndDownwardCorrection; TestPhase5OperatorCOGSAppliesChargeCorrectionOnce	go test ./internal/infra/billingstore/ ./internal/core/billing/	PASS	section 2
L16	Stale/reordered adjustment is typed zero-effect; replay is stable	13.3	TestPhase192RestartLifecycleRaceExactlyOnce (stale correction + late replay)	go test ./internal/infra/billingstore/	PASS	section 2
L17	Balanced adjustment posts only the delta and never the full replacement	13.3	TestSelectedCostAdjustmentSQLiteInitialAndDownwardCorrection; TestCorrectionRecoveryCertifyCorrectedAggregateStatementProducesOneIdempotentDelta; TestSelectedCostAdjustmentPostgresDirectRollbackAndRaces	go test -tags=integration ./internal/infra/billingstore/; make test-db-parity	PASS	section 3
L18	Customer settlement dedupe: one posting under concurrent callbacks	14.4	TestB2b1ConcurrentV1V2ContendersSingleWinner; TestPhase192RestartLifecycleRaceExactlyOnce (4-way settlement race)	go test ./internal/infra/billingstore/	PASS	section 2
L19	Provider charge dedupe: one posting under concurrent callbacks	14.4	TestB2b2ConcurrentV1V2ContendersSingleWinner; TestPhase192RestartLifecycleRaceExactlyOnce (4-way provider race)	go test ./internal/infra/billingstore/	PASS	section 2
L20	Direct adjustment owner dedupe	14.4	TestB2b3ConcurrentOwnersSingleWinner	go test ./internal/infra/billingstore/	PASS	section 6
L21	Cost pass-through adjustment dedupe	14.4	TestB2b4ConcurrentSingleWinner	go test ./internal/infra/billingstore/	PASS	section 6
L22	Customer unit ledger concurrent version fence prevents double spend	14.4; 10.4	TestDurableStoreCustomerUnitLedgerConcurrentVersionFencePreventsDoubleSpend	go test ./internal/infra/billingstore/	PASS	section 6
L23	Cutover marker CAS: one winner, version advances once	17.4	TestAccountingCutoverTwoConcurrentContenders; TestPhase192RestartLifecycleRaceExactlyOnce (shadow transition race)	go test -race ./internal/infra/billingstore/	PASS	section 2
L24	Cutover activation races monetary families with single posting authority	17.4	TestCutoverIntegratedActivationRacesMonetaryFamilies; TestF5F7_ConcurrentV1V2AfterActive; TestCutoverIntegratedConcurrentV1V2SingleWinner	go test ./internal/infra/billingstore/	PASS	section 6
L25	Cutover crash points are atomic and restart-safe	17.4; 18.4	TestCutoverIntegratedCrashRestartNoDuplicates; TestB2b1CrashAtBoundariesIsAtomic; TestB2b2CrashAtBoundariesIsAtomic; TestB2b3CrashAtBoundariesIsAtomic; TestB2b4CrashAtBoundariesIsAtomic; TestSelectedCostAdjustmentSQLiteFaultInjectionRollsBackEachWriteBoundary; TestF3RestartBetweenAdmitTerminalAndClaimPost	go test -race ./internal/infra/billingstore/	PASS	section 4
L26	Rollback/recovery preserves V2 postings and pending evidence	17.5	TestRecovery174V2PostingsBlockStaleBinary; TestRecovery174ForwardRecoveryDrainsExactlyOnceAcrossRestart; TestRecovery174PendingProviderEvidencePreserved; TestRecovery174RetentionPrunePreservesLinkageAndRecovery	go test ./internal/infra/billingstore/	PASS	section 6
L27	Late evidence keeps closed leg/revision work appendable	10.3; 10.4	TestRefinement52DurableLateEvidenceKeepsClosedLegAndRevisionWorkAppendable	go test ./internal/infra/billingstore/	PASS	section 6
L28	Provider correction links survive restart	13.3; 10.6	TestRefinement43ProviderChargeCorrectionLinksPersistAcrossRestart; TestRefinement43ProviderChargeCorrectionLinksSurviveChildHeadRestart	go test ./internal/infra/billingstore/	PASS	section 6
L29	SQLite dual-dialect persistence parity (billing)	18.4	make test-db-parity; go run ./internal/testkit/dbparity/cmd sqlite -component billing	make test-db-parity	PASS (billing; full SQLite all PASS)	section 3
L30	PostgreSQL direct persistence parity (billing)	18.4	make test-db-parity; go run ./internal/testkit/dbparity/cmd postgres-direct -component billing	make test-db-parity	PASS (billing 83.071s); unrelated metering-journal schema drift isolated	section 3
L31	Transaction-pooler topology contracts	18.4	TestPostgresPooled_* in leasestore, workstore, authoritystore	go test -tags=integration -run Pooled <pkgs> with Neon -pooler runtime DSN + LIP_TEST_POSTGRES_RUNTIME_IS_POOLER=1	PASS 15/15; journalstore pooled blocked by pre-existing schema drift	section 3
L32	Race detector on supported non-Windows environment for billing/runtime paths	18.6	Full billingstore + core/billing + core/runtime + billingcompose + billingadmission + journalstore + terminalwork + leasestore + usageauthority + runtimebundle	go test -race -tags=precommit,integration <packages> (WSL2 Linux 6.18, Go 1.26.6, CGO=1)	PASS; no DATA RACE; final full billingstore 1134.694s	section 4
L33	Repeated counts of the racy lifecycle tests	18.6; 14.4	19.2 suite + journal reversal + both Defer paths + F2B + claim-prefix + 19.1 suite	go test -race -count=20 -parallel=16 <billingstore> under concurrent billing/runtime race load	PASS 244.619s	section 4
L34	Repository wide QA applicable stages	18.6	make qa (quality-checks-fast, qa-tests, lint, vuln, release-gates-static, compliance-static)	make qa; make vuln; make backend-plugin-release-gates-static; make test-openresponses-compliance-static	vuln/release-gates/compliance PASS; quality-checks-fast fails only root-module pre-existing lint debt; residual baseline qa-tests gates attributed	section 7
