census_line	path	symbol	final	evidence
24	connectors/commandcode-anthropic/internal/anthropic/client.go	parseNonStreamingResponse	safe-projection	connectors/commandcode-anthropic/internal/anthropic/client.go canonical parsing retains presence/identity; ABI forwards six counters; advanced V2 unsupported without StoreID; parent 8.1/8.5
25	connectors/commandcode-anthropic/internal/anthropic/stream.go	handlePayload	safe-projection	connectors/commandcode-anthropic/internal/anthropic/stream.go presence-aware revisions retained canonical; ABI forwards six counters; advanced V2 unsupported without StoreID; parent 8.1/8.5
26	connectors/cursorsdk/internal/product/event_mapper.go	mapUsageEvent	safe-projection	connectors/cursorsdk/internal/product/event_mapper.go V1 sideband carries counters with presence; account/request/charge plus gauges unsupported without StoreID; parent 8.5
27	connectors/gitlabduo/internal/service/client.go	handlePayload	safe-projection	connectors/gitlabduo/internal/service/client.go Anthropic/OpenAI parsing retains presence/cache/reasoning/IDs; ABI forwards six counters; advanced V2 unsupported without StoreID; parent 8.1/8.2/8.5
28	connectors/minimexoauth/internal/service/client.go	handlePayload	safe-projection	connectors/minimexoauth/internal/service/client.go Anthropic-compatible parsing preserves zero-vs-absent/cache/reasoning/identity; ABI forwards six counters; advanced V2 unsupported without StoreID; parent 8.1/8.5
29	connectors/vertex/internal/service/client.go	usageEvent	safe-projection	connectors/vertex/internal/service/client.go native modality/cache/reasoning parsing local never coerced; ABI forwards six counters; native V2/resource unsupported without StoreID; parent 8.3/8.5
30	connectors/localstub/internal/service/service.go	canonicalEvents	safe-projection	connectors/localstub/internal/service/service.go deterministic test-only six-counter fixture; no native advanced source; parent 8.5
31	pkg/lipsdk/backendplugin/accounting.go	UsageEvidence	native-v2	pkg/lipsdk/backendplugin/accounting.go negotiated AccountingEvidenceV2 validates bounded observation coverage plus explicit unsupported reasons; parent 7.1-8.5
32	pkg/lipsdk/backendplugin/host/session.go	FinalizeBilling	safe-projection	pkg/lipsdk/backendplugin/host/session.go V1 finalization six-counter-only reports partial coverage never claims V2; parent 8.1-8.5
33	internal/infra/backendplugins/adapter/finalize_billing.go	finalizeBillingResponseToEvent	safe-projection	internal/infra/backendplugins/adapter/finalize_billing.go finalizeBillingResponseToEvent projects only six scalar response.Usage counters into lipapi.Event; negotiated V2 observation owners are DrainAccountingEvidenceV2/DrainEconomicObservations in internal/infra/backendplugins/adapter/stream.go plus AccountingV2 EconomicEvidence drain in internal/infra/backendplugins/adapter/backend.go; behavior per internal/infra/backendplugins/adapter/accounting_evidence_characterization_test.go internal/infra/backendplugins/adapter/phase7_economic_adapter_red_test.go; parent 8.1-8.5
34	internal/infra/backendplugins/adapter/stream.go	accountingEvidenceToEvent	safe-projection	internal/infra/backendplugins/adapter/stream.go accountingEvidenceToEvent projects only six scalar V1 AccountingEvidence counters into lipapi.Event; V2 sideband owners are DrainAccountingEvidenceV2/DrainEconomicObservations in same file preserving identity/revision/coverage host-only; behavior per internal/infra/backendplugins/adapter/accounting_evidence_characterization_test.go internal/infra/backendplugins/adapter/phase7_economic_adapter_red_test.go; parent 8.1-8.5
35	internal/core/runtime/response_pipeline_observations.go	emitUsageEvidence	native-v2	internal/core/runtime/response_pipeline_observations.go terminal captures V2 before legacy fallback keeps missing-final incomplete; parent 8.1-8.5
36	internal/core/runtime/operator_usage_evidence.go	operatorUsageEvidence	safe-projection	internal/core/runtime/operator_usage_evidence.go operator fallback source-separated legacy evidence never upgrades unsupported advanced; parent 8.5
37	internal/core/runtime/billing_collector.go	callFinalizeBilling	safe-projection	internal/core/runtime/billing_collector.go callFinalizeBilling returns only scalar lipapi.Event Usage and discards EconomicEvidence; V2-preserving owners are callFinalizeBillingResult/FinalizeBillingV2 in same file plus AccountingV2 EconomicEvidence drain in internal/infra/backendplugins/adapter/backend.go; behavior per internal/infra/backendplugins/adapter/phase7_economic_finalizer_test.go; parent 8.5
38	internal/core/runtime/billing_leg.go	billingLegRecord	native-v2	internal/core/runtime/billing_leg.go B-leg closure retains provider lineage plus V2 observations; native non-B-leg evidence never attached falsely; parent 8.5
39	internal/core/runtime/billing_leg.go	mergeStreamCostOntoLeg	removed	retired in Task 18.1 Migration Strategy step 8; replaced by projectV1BillingEvidence in internal/core/runtime/billing_leg.go explicit one-way V1 selection; destructive merge must not return
40	pkg/lipsdk/promptcache/accounting.go	AccountingEvidence	safe-projection	pkg/lipsdk/promptcache/accounting.go maintenance native lifecycle evidence never foreground inference; parent 8.5
41	pkg/lipsdk/promptcache/types.go	Observation	safe-projection	pkg/lipsdk/promptcache/types.go native cache/resource subject plus renewal lineage additive separate from B-leg closure; parent 8.5
42	internal/core/runtime/prompt_cache_maintenance.go	commitSuccessfulTurn	safe-projection	internal/core/runtime/prompt_cache_maintenance.go committed-turn renewal native maintenance evidence with lineage not foreground debit; parent 8.5
43	internal/core/runtime/executor_compaction.go	observeCompactionReleaseFinalEvidence	safe-projection	internal/core/runtime/executor_compaction.go compaction release preserves child/native maintenance identity additive/inclusive only as declared; parent 8.5
44	internal/plugins/features/compactioncontinuity/plugin_response.go	AfterResponseRelease	unsupported-strict	internal/plugins/features/compactioncontinuity/plugin_response.go has no V2 native resource/child B-leg transport; strict offers requiring it fail via billing.ErrEstimateUnbounded/ErrEstimateInvalid before spend; foreground untouched; parent 8.5
45	internal/standardplugins/featurehost/keepwarm.go	keepwarmAccountingHooks	safe-projection	internal/standardplugins/featurehost/keepwarm.go keep-warm hooks retain native maintenance/resource scope never relabelled foreground inference; parent 8.5
46	internal/infra/billingcompose/keepwarm.go	ObserveProviderMaintenance	safe-projection	internal/infra/billingcompose/keepwarm.go maintenance observations native subject until owner-safe allocation bound; parent 8.5
47	internal/core/billing/maintenance.go	ProviderMaintenanceUsage	safe-projection	internal/core/billing/maintenance.go native maintenance accounting explicit separate from request B-leg evidence; parent 8.5
48	internal/infra/metering/journalstore/memory.go	Append	native-v2	internal/infra/metering/journalstore/memory.go V2 envelope storage with bounded component projections plus replay checks; V1 rows preserved; parent 4.1-4.4
49	internal/infra/metering/journalstore/durable.go	Append	native-v2	internal/infra/metering/journalstore/durable.go V2 envelope storage dual-dialect with transaction composition; V1 rows preserved; parent 4.1-4.4
50	internal/infra/runtimebundle/metering.go	openDurableMeteringJournal	native-v2	internal/infra/runtimebundle/metering.go composes durable V2 journal family; parent 4.1-4.4
51	internal/core/controlplane/metering_usage_bridge.go	ListUsageRowsFromMeteringBounded	safe-projection	internal/core/controlplane/metering_usage_bridge.go control-plane V1 usage-row projection for queries; live financial truth uses V2 journal plus valuations; parent 15-16
52	internal/core/billing/call_rating.go	RateCall	native-v2	internal/core/billing/call_rating.go RateCall is owner-aware dispatcher: V2-owned work rates exclusively via rateV2ComponentCall through RateSelectedRetailBLegs in internal/core/billing/retail_rating.go with CustomerTariff/ModelTariffs and ValidateCallRatingResultForSettlement bound valuation fence (complete customer valuation bound to subject/scope, currency, rated amount, result identity) enforced generically by resolveCallRatingWithOwner in internal/core/billing/call_post_usage_worker.go before Apply (V2 requires OwnerAwareCallRatingResolver) and by ApplyCallBillingResult in internal/infra/billingstore/call_settlement.go at transaction entry; production ResolveCallRatingForOwner in internal/infra/billingcompose/resolver.go also enforces it; scalar engine rateCustomerCharge survives only in fenced rateV1DrainCall requiring PostingOwnerV1 with additive V2 observations preserved (ownership selects writer, not envelope format) plus empty-or-legacy scalar tariff; behavior per internal/core/billing/phase18_r1_scalar_test.go internal/core/billing/phase18_owner_final_test.go internal/infra/billingstore/phase18_owner_final_test.go internal/infra/billingcompose/resolver_test.go internal/infra/runtimebundle/cutover_v2_pipeline_f3_test.go; parent 9.1-10.5
53	internal/core/billing/rating.go	selectCustomerLegs	safe-projection	internal/core/billing/rating.go legacy scalar selector retained as historical projection; live retail uses frozen B-leg policy selectRetailBLegsForPolicy per C3; parent 9.1-10.5
54	internal/core/billing/provider_cost.go	RateProviderCost	safe-projection	internal/core/billing/provider_cost.go V1 authoritative money retained for draining/history; token-only without money unreconciled provider_money_unavailable; estimates owned by V2 provider-quantity valuation; parent 9.1-10.5 and 18.1
55	internal/core/billing/call_post_usage_worker.go	ProcessOnce	native-v2	internal/core/billing/call_post_usage_worker.go revision-aware durable customer work with fences; rating/reconciliation independent of posting per C6; parent 10.1-10.5
56	internal/core/billing/call_provider_cost_worker.go	ProcessOnce	native-v2	internal/core/billing/call_provider_cost_worker.go revision-aware durable operator work with fences; supplier locks never block customer per C6; parent 9.1-10.5
57	internal/infra/billingstore/call_usage_store.go	AppendCallUsage	native-v2	internal/infra/billingstore/call_usage_store.go V2 call/leg closure payload plus immutable refs with fenced cutover; legacy payload readable; parent 4.1-5.4
58	internal/infra/billingstore/call_leg_usage_store.go	AppendCallLegUsage	native-v2	internal/infra/billingstore/call_leg_usage_store.go V2 B-leg envelopes plus pending provider-cost work with epoch fencing; parent 4.1-5.4
59	internal/infra/billingstore/call_settlement.go	ApplyCallBillingResult	native-v2	internal/infra/billingstore/call_settlement.go balanced customer posting with valuation/adjustment refs plus revision-aware keys; parent 10.1-10.5
60	internal/infra/billingstore/provider_cost_store.go	ApplyProviderCost	native-v2	internal/infra/billingstore/provider_cost_store.go balanced operator posting with authority fencing; estimates never cross provider COGS boundary; parent 9.1-9.5
61	internal/infra/billingstore/journal_store.go	postJournalTransaction	native-v2	internal/infra/billingstore/journal_store.go sole journal authority with valuation/adjustment refs; no second writer; parent 10.1-10.5
62	internal/infra/runtimebundle/process_billing.go	buildProcessBillingRuntime	native-v2	internal/infra/runtimebundle/process_billing.go composes revision-aware worker runtimes with queue separation; parent 9-10
63	internal/core/billing/reports.go	SummarizeJournalForReport	native-v2	internal/core/billing/reports.go V2-aware journal summary preserves native currencies plus completeness; parent 15.1-16.5
64	internal/infra/billingstore/reports.go	AccountReport	native-v2	internal/infra/billingstore/reports.go scoped component evidence plus E/Q/P/S/R detail with known subtotal; parent 15.1-16.5
65	internal/infra/billingstore/reports_call_explanation.go	CallExplanation	native-v2	internal/infra/billingstore/reports_call_explanation.go call/A-leg economics with payer/lineage plus aggregate-only coverage; parent 15.1-16.5
66	internal/infra/billingstore/operator_queries.go	QueryReconcileRequired	native-v2	internal/infra/billingstore/operator_queries.go paginated reconciliation plus allowance/statement views with comparison/selection/posting status; parent 15.1-16.5
67	internal/core/controlplane/usage_projector.go	ProjectMeteringFact	safe-projection	internal/core/controlplane/usage_projector.go V1 fact projection for control-plane queries; operator economics use V2 detail queries; parent 15.1-16.5
68	pkg/lipsdk/controlplane/economics_report_from_facts.go	DualPlaneReportInputsFromFacts	safe-projection	pkg/lipsdk/controlplane/economics_report_from_facts.go DualPlaneReportInputsFromFacts reconstructs scalar TokenQuantityInput/MoneyAmountInput report inputs solely from V1 []metering.Fact; distinct public V2 detail binding is UsageDetail in pkg/lipsdk/controlplane/details.go projected by ProjectObservedStreamUsage/ProjectUsageDetail/ProjectMeteringFact in internal/core/controlplane/usage_projector.go; live financial truth uses V2 journal plus billingstore valuations per internal/infra/billingstore/reports.go AccountReport; behavior per pkg/lipsdk/controlplane/phase35_dual_plane_report_from_facts_test.go internal/core/controlplane/phase35_bridge_drain_red_test.go; parent 15.1-16.5
69	internal/stdhttp/admin/billing/handler.go	handleAccountReport	native-v2	internal/stdhttp/admin/billing/handler.go protected reports mount exposes economics/reconciliation/allowance/statement views with tenant scope; parent 15.1-16.5
